,text,label_num
0,Looking for eco-friendly essentials? Explore our curated collection of sustainable products for your home and office.,1
1,on the way,0
2,Buy 1 get 1 on all summer essentials — shop now!,1
3,take care,0
4,Buy 1 get 1 on all summer essentials — shop now!,1
5,Try our AI writing tool for free!,1
6,The orientation on sex-positive education will take place this weekend.,0
7,kk,0
8,call me,0
9,Level up your coding with our new online course.,1
10,send it,0
11,let's meet,0
12,The report on user analytics is ready. Check the shared drive for access and review before our next sync-up.,0
13,Your submission for the scholarship program has been received. We’ll notify you of the results via email.,0
14,"Join our newsletter and enjoy weekly insights, tools, and premium discounts tailored for working professionals.",1
15,I’m your cousin,0
16,Looking for eco-friendly essentials? Explore our curated collection of sustainable products for your home and office.,1
17,"Sharing access to a useful network, thought you might benefit.",2
18,done,0
19,okay,0
20,The orientation on sex-positive education will take place this weekend. Please bring your ID.,0
21,"Hi team, the deployment has been successfully completed. All systems are live and functioning as expected.",0
22,speak later,0
23,Introducing the new ProPlan+ — designed for remote teams who demand performance and security. Get started with a 7-day free trial.,1
24,Congratulations! You've been selected for a $1000 gift card.,2
25,Upgrade your workspace with premium chairs today.,1
26,Looking for eco-friendly essentials? Explore our curated collection of sustainable products for your home and office.,1
27,bye,0
28,yo,0
29,"Hi team, the deployment has been successfully completed. All systems are live and functioning as expected.",0
30,Limited offer: Redeem your exclusive vacation package now!,2
31,Buy 1 get 1 on all summer essentials — shop now!,1
32,Thanks for your feedback on the recent wellness session. We’ll incorporate your suggestions in future events.,0
33,Upgrade your workspace with premium chairs today.,1
34,The drug-free youth awareness program has been rescheduled to next Friday. Please bring your ID.,0
35,Upgrade your workspace with premium chairs today.,1
36,Upgrade your workspace with premium chairs today.,1
37,"Improve your sleep naturally. Our wellness products are backed by science and used by over 100,000 satisfied customers.",1
38,This initiative could help streamline your work — just take a look.,2
39,thanks,0
40,yes,0
41,Please find attached the meeting agenda for tomorrow's quarterly review. Let me know if you have any updates.,0
42,Your submission for the scholarship program has been received. We’ll notify you of the results via email.,0
43,thanks,0
44,Upgrade your workspace with premium chairs today.,1
45,Your submission for the scholarship program has been received. We’ll notify you of the results via email.,0
46,Congratulations! You've been selected for a $1000 gift card.,2
47,hm,0
48,Buy 1 get 1 on all summer essentials — shop now!,1
49,You won an iPhone 14! Click here to claim now!,2
50,on the way,0
51,Please find the attached pamphlet for our mental health and substance abuse support group.,0
52,"Sharing access to a useful network, thought you might benefit.",2
53,Let me know if you'd like more info. No pressure at all.,2
54,Your sexual addiction recovery session is confirmed for tomorrow at 10 AM.,0
55,"Join our newsletter and enjoy weekly insights, tools, and premium discounts tailored for working professionals.",1
56,"Improve your sleep naturally. Our wellness products are backed by science and used by over 100,000 satisfied customers.",1
57,how are you?,0
58,"Join our newsletter and enjoy weekly insights, tools, and premium discounts tailored for working professionals.",1
59,The drug-free youth awareness program has been rescheduled to next Friday. Please bring your ID.,0
60,"Join our newsletter and enjoy weekly insights, tools, and premium discounts tailored for working professionals.",1
61,Buy 1 get 1 on all summer essentials — shop now!,1
62,Let me know if you'd like more info. No pressure at all.,2
63,The report on user analytics is ready. Check the shared drive for access and review before our next sync-up.,0
64,Limited offer: Redeem your exclusive vacation package now!,2
65,Hope you're doing well. I wanted to share something that might interest you.,2
66,take care,0
67,Click to verify and win a PlayStation 5 today.,2
68,Please find the attached pamphlet for our mental health and substance abuse support group. Contact us for schedule changes.,0
69,Introducing the new ProPlan+ — designed for remote teams who demand performance and security. Get started with a 7-day free trial.,1
70,be right back,0
71,Your OTP is 778899 — do not share it with anyone.,2
72,"Hi team, the deployment has been successfully completed. All systems are live and functioning as expected.",0
73,"Hi team, the deployment has been successfully completed. All systems are live and functioning as expected.",0
74,Get 15% off your next order — limited time!,1
75,"Sharing access to a useful network, thought you might benefit.",2
76,"Join our newsletter and enjoy weekly insights, tools, and premium discounts tailored for working professionals.",1
77,"Improve your sleep naturally. Our wellness products are backed by science and used by over 100,000 satisfied customers.",1
78,Your sexual addiction recovery session is confirmed for tomorrow at 10 AM. It’s free for all students.,0
79,Please find the attached pamphlet for our mental health and substance abuse support group. Please bring your ID.,0
80,on the way,0
81,hi,0
82,msg me,0
83,"Join our newsletter and enjoy weekly insights, tools, and premium discounts tailored for working professionals.",1
84,Introducing the new ProPlan+ — designed for remote teams who demand performance and security. Get started with a 7-day free trial.,1
85,Please find the attached pamphlet for our mental health and substance abuse support group. Please bring your ID.,0
86,The drug-free youth awareness program has been rescheduled to next Friday. Contact us for schedule changes.,0
87,"Hi team, the deployment has been successfully completed. All systems are live and functioning as expected.",0
88,The report on user analytics is ready. Check the shared drive for access and review before our next sync-up.,0
89,Your submission for the scholarship program has been received. We’ll notify you of the results via email.,0
90,Your OTP is 778899 — do not share it with anyone.,2
91,"Improve your sleep naturally. Our wellness products are backed by science and used by over 100,000 satisfied customers.",1
92,"Improve your sleep naturally. Our wellness products are backed by science and used by over 100,000 satisfied customers.",1
93,You may find this opportunity relevant to your interests.,2
94,Level up your coding with our new online course.,1
95,Limited offer: Redeem your exclusive vacation package now!,2
96,You may find this opportunity relevant to your interests.,2
97,Get 15% off your next order — limited time!,1
98,"Sharing access to a useful network, thought you might benefit.",2
99,how are you?,0
100,Your submission for the scholarship program has been received. We’ll notify you of the results via email.,0
101,Introducing the new ProPlan+ — designed for remote teams who demand performance and security. Get started with a 7-day free trial.,1
102,Congratulations! You've been selected for a $1000 gift card.,2
103,Introducing the new ProPlan+ — designed for remote teams who demand performance and security. Get started with a 7-day free trial.,1
104,Let me know if you'd like more info. No pressure at all.,2
105,Introducing the new ProPlan+ — designed for remote teams who demand performance and security. Get started with a 7-day free trial.,1
106,"Sharing access to a useful network, thought you might benefit.",2
107,hey there,0
108,Limited offer: Redeem your exclusive vacation package now!,2
109,Click to verify and win a PlayStation 5 today.,2
110,You won an iPhone 14! Click here to claim now!,2
