text,label
Enroll in our online Python bootcamp and get certified in 30 days!,1
"You have won ₹50,00,000 in the International Mega Lottery. Click here to claim now.",2
Introducing the new Samsung Galaxy – preorder now and get exclusive rewards. Hurry up!,1
"Dear user, you have pending refunds. Provide your UPI ID to receive them now.",2
Can we reschedule our meeting to 3 PM instead of 2?,0
Can we reschedule our meeting to 3 PM instead of 2?,0
The workshop on substance abuse prevention is set for next Monday.,0
"Dear user, you have pending refunds. Provide your UPI ID to receive them now.",2
Welcome to our service! Your account setup is complete.,0
Unlock 40% off on our skincare essentials – only for today!,1
Can we reschedule our meeting to 3 PM instead of 2?,0
"Flat 60% off on sarees and ethnic wear, this weekend only.",1
Get your COVID test report by clicking this secure link [phishing]. Hurry up!,2
Don’t forget: Mom’s birthday is on Sunday.,0
Introducing the new Samsung Galaxy – preorder now and get exclusive rewards.,1
Book your dream vacation with MakeMyTrip now and save big.,1
The workshop on substance abuse prevention is set for next Monday.,0
"Hi team, please find the attached report for this week’s performance. Hurry up!",0
Book your dream vacation with MakeMyTrip now and save big.,1
Click to verify your mobile number and receive a brand new PS5.,2
Try our meal kit delivery service and get 3 meals free.,1
Congratulations! You’ve been selected to receive a new Honda City.,2
The OTP for accessing your Google account is 924318. Please do not share it with anyone.,0
Join our free webinar on financial freedom this weekend.,1
The workshop on substance abuse prevention is set for next Monday. Hurry up!,0
Unlock 40% off on our skincare essentials – only for today!,1
Click to verify ur mobile number and receive a brand new PS5.,2
Lunch at 1 PM today? Let me know what works for u.,0
"Flat 60% off on sarees and ethnic wear, this weekend only. Hurry up!",1
"Hey, just checking in. How’s everything going? Hurry up!",0
The workshop on substance abuse prevention is set for next Monday.,0
Join our free webinar on financial freedom this weekend.,1
"Hey, just checking in. How’s everything going? Hurry up!",0
"Hey, your parcel from Flipkart will arrive today between 4-6 PM.",0
"Flat 60% off on sarees and ethnic wear, this weekend only.",1
"This Diwali, gift your loved ones the best electronics at amazing prices.",1
The workshop on substance abuse prevention is set for next Monday.,0
Early bird offer: Get access to premium content at just ₹99/month.,1
The workshop on substance abuse prevention is set for next Monday.,0
Don’t forget: Mom’s birthday is on Sunday. Hurry up!,0
Get your COVID test report by clicking this secure link [phishing].,2
"Hey, just checking in. How’s everything going?",0
Enroll in our online Python bootcamp and get certified in 30 days! Hurry up!,1
The workshop on substance abuse prevention is set for next Monday.,0
"Dear user, you have pending refunds. Provide your UPI ID to receive them now.",2
